,linkedin url,company_name,industry,website,tagline,about,year founded,locality,country,current employee estimate,keywords
10,linkedin.com/company/pwc,PwC,Professional Services,https://www.pwc.com/gx/en,,"At PwC, our purpose is to build trust in society and solve important problems. We’re a network of firms in 152 countries with over 327,000 people who are committed to delivering quality in assurance, advisory and tax services. Find out more and tell us what matters to you by visiting us at www.pwc.com.  PwC refers to the PwC network and/or one or more of its member firms, each of which is a separate legal entity.

Content on this page has been prepared for general information only and is not intended to be relied upon as accounting, tax or professional advice. Please reach out to your advisors for specific advice.",1998.0,"new york, new york, united states",united states,111372,"pwc,firms,accounting,trust,assurance"
11,linkedin.com/company/wellsfargo,Wells Fargo,Financial Services,http://www.wellsfargo.com,,"Wells Fargo & Company (NYSE: WFC) is a diversified, community-based financial services company with approximately $1.9 trillion in assets. Wells Fargo’s vision is to satisfy our customers’ financial needs and help them succeed financially. Founded in 1852 and headquartered in San Francisco, Wells Fargo provides banking, investment and mortgage products and services, as well as consumer and commercial finance, through more than 7,300 locations, 12,000 ATMs, the internet (wellsfargo.com) and mobile banking, and has offices in over 40 countries and territories to support customers who conduct business in the global economy. With approximately 250,000 team members, Wells Fargo serves one in three households in the United States. Wells Fargo & Company was ranked No. 41 on Fortune’s 2022 rankings of America’s largest corporations. News, insights and perspectives from Wells Fargo are also available at Wells Fargo Stories. 

Relevant military experience is considered for veterans and transitioning service men and women. 
Wells Fargo is an Affirmative Action and Equal Opportunity Employer, Minority/Female/Disabled/Veteran/Gender Identity/Sexual Orientation. © 2016 Wells Fargo Bank, N.A. All rights reserved. Member FDIC.",,"san francisco, california, united states",united states,109532,"fargo,wellsfargo,nyse,banking,wfc"
12,linkedin.com/company/infosys,Infosys,IT Services and IT Consulting,https://www.infosys.com,Transforming Enterprises To Become A Thriving Live Enterprise. AI-Powered. Digital Agility At Scale. Always-On Learning.,"Infosys is a global leader in next-generation digital services and consulting. We enable clients in more than 50 countries to navigate their digital transformation. With over three decades of experience in managing the systems and workings of global enterprises, we expertly steer our clients through their digital journey. We do it by enabling the enterprise with an AI-powered core that helps prioritize the execution of change. We also empower the business with agile digital at scale to deliver unprecedented levels of performance and customer delight. Our always-on learning agenda drives their continuous improvement through building and transferring digital skills, expertise, and ideas from our innovation ecosystem.

Visit www.infosys.com to see how Infosys (NYSE: INFY) can help your enterprise navigate your next.",1981.0,"bangalore, karnataka, india",india,104752,"infosys,enterprise,agile,nyse,services"
13,linkedin.com/company/deloitte,Deloitte,Business Consulting and Services,http://www.deloitte.com/,,"Deloitte drives progress. Our firms around the world help clients become leaders wherever they choose to compete. Deloitte invests in outstanding people of diverse talents and backgrounds and empowers them to achieve more than they could elsewhere. Our work combines advice with action and integrity. We believe that when our clients and society are stronger, so are we. 

Deloitte refers to one or more of Deloitte Touche Tohmatsu Limited (“DTTL”), its global network of member firms, and their related entities. DTTL (also referred to as “Deloitte Global”) and each of its member firms are legally separate and independent entities. DTTL does not provide services to clients. Please see www.deloitte.com/about to learn more.

The content on this page contains general information only, and none of Deloitte Touche Tohmatsu Limited, its member firms, or their related entities (collectively the “Deloitte Network”) is, by means of this publication, rendering professional advice or services. Before making any decision or taking any action that may affect your finances or your business, you should consult a qualified professional adviser. No entity in the Deloitte Network shall be responsible for any loss whatsoever sustained by any person who relies on content from this page.",1900.0,"new york, new york, united states",united states,104112,"deloitte,dttl,clients,firms,entity"
14,linkedin.com/company/citi,Citi,Financial Services,http://www.citigroup.com,,"Citi's mission is to serve as a trusted partner to our clients by responsibly providing financial services that enable growth and economic progress. Our core activities are safeguarding assets, lending money, making payments and accessing the capital markets on behalf of our clients. We have 200 years of experience helping our clients meet the world's toughest challenges and embrace its greatest opportunities. We are Citi, the global bank – an institution connecting millions of people across hundreds of countries and cities.

For information on Citi’s commitment to privacy, visit on.citi/privacy.",1812.0,"new york, new york, united states",united states,101482,"citi,privacy,financial,bank,trusted"
15,linkedin.com/company/bank-of-america,Bank of America,Banking,https://www.bankofamerica.com,Helping to make financial lives better through the power of every connection.,"Bank of America is one of the world's largest financial institutions, serving individuals, small- and middle-market businesses and large corporations with a full range of banking, investing, asset management and other financial and risk management products and services. The company serves approximately 56 million U.S. consumer and small business relationships. It is among the world's leading wealth management companies and is a global leader in corporate and investment banking and trading.

This LinkedIn company page is moderated. For more information, please visit: https://bit.ly/32FDdQr.

For account issues, please visit: https://bit.ly/2GeTIeP.",1968.0,"charlotte, north carolina, united states",united states,97357,"bank,banking,financial,linkedin,account"
16,linkedin.com/company/jpmorgan-chase,JPMorgan Chase & Co.,Financial Services,http://www.jpmorganchase.com,,"With a history tracing its roots to 1799 in New York City, JPMorgan Chase is one of the world's oldest, largest, and best-known financial institutions—carrying forth the innovative spirit of our heritage firms in global operations across 100 markets.
 
We serve millions of customers and many of the world’s most prominent corporate, institutional, and government clients daily, managing assets and investments, offering business advice and strategies, and providing innovative banking solutions and services.

Social Media Terms and Conditions: https://bit.ly/JPMCSocialTerms

© 2024 JPMorgan Chase & Co. All rights reserved. JPMorgan Chase is an Equal Opportunity Employer, including Disability/Veterans.",1823.0,"new york, new york, united states",united states,95234,"jpmorgan,chase,banking,financial,corporate"
17,linkedin.com/company/us-navy,US Navy,Armed Forces,http://www.navy.mil/,"Honor, Courage, Commitment","The United States is a maritime nation, and the U.S. Navy protects America at sea. Alongside our allies and partners, we defend freedom, preserve economic prosperity, and keep the seas open and free. Our nation is engaged in long-term competition. To defend American interests around the globe, the U.S. Navy must remain prepared to execute our timeless role, as directed by Congress and the President.",,"washington, district of columbia, united states",united states,94458,"navy,maritime,seas,sea,defend"
18,linkedin.com/company/amazon,Amazon,Software Development,https://www.aboutamazon.com/,,"Amazon is guided by four principles: customer obsession rather than competitor focus, passion for invention, commitment to operational excellence, and long-term thinking. We are driven by the excitement of building technologies, inventing products, and providing services that change lives. We embrace new ways of doing things, make decisions quickly, and are not afraid to fail. We have the scope and capabilities of a large company, and the spirit and heart of a small one.

Together, Amazonians research and develop new technologies from Amazon Web Services to Alexa on behalf of our customers: shoppers, sellers, content creators, and developers around the world.

Our mission is to be Earth's most customer-centric company. Our actions, goals, projects, programs, and inventions begin and end with the customer top of mind.

You'll also hear us say that at Amazon, it's always ""Day 1."" What do we mean? That our approach remains the same as it was on Amazon's very first day - to make smart, fast decisions, stay nimble, invent, and focus on delighting our customers.",1994.0,"seattle, washington, united states",united states,93247,"alexa,amazonians,amazon,customers,capabilities"
19,linkedin.com/company/apple,Apple,Computers and Electronics Manufacturing,http://www.apple.com/careers,,"We’re a diverse collective of thinkers and doers, continually reimagining what’s possible to help us all do what we love in new ways. And the same innovation that goes into our products also applies to our practices — strengthening our commitment to leave the world better than we found it. This is where your work can make a difference in people’s lives. Including your own.

Apple is an equal opportunity employer that is committed to inclusion and diversity. Visit apple.com/careers to learn more.",1976.0,"cupertino, california, united states",united states,90095,"apple,diversity,diverse,employer,innovation"
20,linkedin.com/company/siemens,Siemens,Automation Machinery Manufacturing,http://www.siemens.com,Technology to transform the everyday.,"Siemens is a technology company focused on industry, infrastructure, transport, and healthcare. From more resource-efficient factories, resilient supply chains, and smarter buildings and grids, to cleaner and more comfortable transportation as well as advanced healthcare, the company creates technology with purpose adding real value for customers. By combining the real and the digital worlds, Siemens empowers its customers to transform their industries and markets, helping them to transform the everyday for billions of people. Siemens also owns a majority stake in the publicly listed company Siemens Healthineers, a globally leading medical technology provider shaping the future of healthcare. In addition, Siemens holds a minority stake in Siemens Energy, a global leader in the transmission and generation of electrical power.
In fiscal 2022, which ended on September 30, 2022, the Siemens Group generated revenue of €72.0 billion and net income of €4.4 billion. As of September 30, 2022, the company had around 311,000 employees worldwide. Further information is available at www.siemens.com.",1847.0,"munich, bavaria, germany",germany,87381,"siemens,healthcare,company,industries,revenue"
21,linkedin.com/company/oracle,Oracle,IT Services and IT Consulting,http://www.oracle.com,"We help people see data in new ways, discover insights, unlock endless possibilities.","We’re a cloud technology company that provides organizations around the world with computing infrastructure and software to help them innovate, unlock efficiencies and become more effective. We also created the world’s first – and only – autonomous database to help organize and secure our customers’ data.
 
Oracle Cloud Infrastructure offers higher performance, security, and cost savings. It is designed so businesses can move workloads easily from on-premises systems to the cloud, and between cloud and on-premises and other clouds. Oracle Cloud applications provide business leaders with modern applications that help them innovate, attain sustainable growth, and become more resilient. 
 
The work we do is not only transforming the world of business--it's helping defend governments, and advance scientific and medical research. From nonprofits to companies of all sizes, millions of people use our tools to streamline supply chains, make HR more human, quickly pivot to a new financial plan, and connect data and people around the world.  

At work, we embrace diversity, encourage personal and professional growth, and celebrate a global team of passionate people developing innovative technologies that help people and companies tackle real-world problems head-on.

If you’d like to join us, please visit our Careers page: https://www.oracle.com/corporate/careers/

For investor news, SEC filings, and financial information about Oracle (NYSE:ORCL), please visit https://investor.oracle.com/home/.
 
Follow us on Twitter: https://twitter.com/oracle 
Like our page on Facebook: https://www.facebook.com/Oracle/ 
Follow us on Instagram: https://www.instagram.com/oracle/",1977.0,"redwood shores, california, united states",united states,85090,"oracle,cloud,infrastructure,clouds,database"
22,linkedin.com/company/nokia,Nokia,Telecommunications,https://www.nokia.com,"At Nokia, we create technology that helps the world act together.","At Nokia, we create technology that helps the world act together. 

As a B2B technology innovation leader, we are pioneering the future where networks meet cloud to realize the full potential of digital in every industry.

Through networks that sense, think and act, we work with our customers and partners to create the digital services and applications of the future. 


For our latest updates, please visit us online www.nokia.com  

To view open positions and to apply, please visit: www.nokia.com/careers",1865.0,"espoo, uusimaa, finland",finland,84327,"nokia,b2b,technology,careers,networks"
23,linkedin.com/company/education-nationale,Ministère de l'Éducation nationale et de la Jeunesse,Government Administration,https://www.education.gouv.fr,,"""Ministère de l'Education Nationale et de la jeunesse"" is the French Ministry in charge of education, from primary to higher education, Universities and public research. The Ministry divisions are not always the same, sometimes the research is combined with industry. In other governments, the Ministry has also been in charge Sport, Youth and Community Life.

The head of this Ministry is located ""rue de Grenelle"" in Paris. At the decentralized level, the Ministry of Education includes ""Academies"" often corresponding to several departments.",,"paris, île-de-france, france",france,84218,"ministère,ministry,nationale,jeunesse,french"
24,linkedin.com/company/capgemini,Capgemini,IT Services and IT Consulting,https://www.capgemini.com,Get the Future You Want,"Capgemini is a global leader in partnering with companies to transform and manage their business by harnessing the power of technology. The Group is guided everyday by its purpose of unleashing human energy through technology for an inclusive and sustainable future. It is a responsible and diverse organization of 350,000 team members in more than 50 countries. With its strong 55-year heritage and deep industry expertise, Capgemini is trusted by its clients to address the entire breadth of their business needs, from strategy and design to operations, fueled by the fast evolving and innovative world of cloud, data, AI, connectivity, software, digital engineering and platforms. The Group reported in 2022 global revenues of €22 billion.

Get The Future You Want | www.capgemini.com",1967.0,"france, aquitaine, france",france,84179,"capgemini,manage,companies,future,technology"
25,linkedin.com/company/wipro,Wipro,IT Services and IT Consulting,http://www.wipro.com,,"Wipro Limited (NYSE: WIT, BSE: 507685, NSE: WIPRO) is a leading technology services and consulting company focused on building innovative solutions that address clients’ most complex digital transformation needs. Leveraging our holistic portfolio of capabilities in consulting, design, engineering, and operations, we help clients realize their boldest ambitions and build future-ready, sustainable businesses. With over 250,000 employees and business partners across 66 countries, we deliver on the promise of helping our customers, colleagues, and communities thrive in an ever-changing world.
Wipro is an Equal Employment Opportunity employer and makes all employment and employment-related decisions without regard to a person's race, sex, national origin, ancestry, disability, sexual orientation, or any other status protected by applicable law.",1945.0,"bangalore, karnataka, india",india,78261,"wipro,bse,capabilities,nyse,employer"
26,linkedin.com/company/hsbc,HSBC,Financial Services,http://www.hsbc.com,,"Opening up a world of opportunity for our customers, investors, ourselves and the planet.

We're a financial services organisation that serves more than 40 million customers, ranging from individual savers and investors to some of the world’s biggest companies and governments. Our network covers 63 countries and territories, and we’re here to use our unique expertise, capabilities, breadth and perspectives to open up a world of opportunity for our customers. 

HSBC is listed on the London, Hong Kong, New York, Paris and Bermuda stock exchanges.

To view our social media terms and conditions please visit the following webpage: http://www.hsbc.com/social-TandCs",1865.0,"london, greater london, united kingdom",united kingdom,75640,"hsbc,exchanges,customers,financial,companies"
27,linkedin.com/company/google,Google,Software Development,https://goo.gle/3DLEokh,,"A problem isn't truly solved until it's solved for all. Googlers build products that help create opportunities for everyone, whether down the street or across the globe. Bring your insight, imagination and a healthy disregard for the impossible. Bring everything that makes you unique. Together, we can build for everyone.

Check out our career opportunities at goo.gle/3DLEokh",1998.0,"mountain view, california, united states",united states,75109,"googlers,goo,opportunities,career,gle"
28,linkedin.com/company/usps,United States Postal Service,Government Administration,http://www.usps.com/,,"As the United States Postal Service continues its evolution as a forward-thinking, fast-acting company capable of providing quality products and services for its customers, it continues to remember and celebrate its roots as the first national network of communications that literally bound a nation together. Ours is a proud heritage built on a simple yet profound mission: Bind the nation together. Connect every American, every door, every business, everywhere through the simple act of delivering mail and packages. This idea of universal service is at the heart of the $1.4 trillion industry that employs more than 7.5 million people and drives commerce, plays an integral part in every American community and remains the greatest value of any post in the world. 

The Postal Service delivers more mail to more addresses in a larger geographical area than any other post in the world. The Postal Service delivers to more than 157 million addresses in every state, city and town in this country. Everyone living in the United States and its territories has access to postal products and services and pays the same postage regardless of their location. The Postal Service receives no tax dollars for operating expenses and relies on the sale of postage, products and services to fund its operations. 

Facebook: www.facebook.com/usps
Twitter: www.twitter.com/usps
Instagram: www.instagram.com/uspostalservice
Pinterest: www.pinterest.com/uspsstamps
YouTube: www.youtube.com/usps
Corporate Blog: www.uspsblog.com

This profile, while affiliated with the U.S. Postal Service®, is not an official customer service page. 
Please use one of the methods described below to receive assistance.
Get help on twitter @USPSHelp or call 800-275-8777or go to go.usa.gov/help

Thank you",,"washington, district of columbia, united states",united states,74357,"usps,postal,postage,uspostalservice,mail"
29,linkedin.com/company/mcdonald's-corporation,McDonald's,Restaurants,https://corporate.mcdonalds.com/,,"McDonald’s is the world’s leading global foodservice retailer with over 37,000 locations in over 100 countries.  More than 90% of McDonald’s restaurants worldwide are owned and operated by independent local business men and women.
 
McDonald's & our franchisees employ 1.9 million people worldwide.

We serve the world some of its favorite foods - World Famous Fries, Big Mac, Quarter Pounder, Chicken McNuggets and Egg McMuffin. 

To learn more about the company, please visit www.aboutmcdonalds.com.",1955.0,"oak brook, illinois, united states",united states,68233,"mcdonald,franchisees,restaurants,foodservice,mcnuggets"
30,linkedin.com/company/ericsson,Ericsson,IT Services and IT Consulting,http://www.ericsson.com,"We create limitless connectivity to improve lives, redefine business and pioneer a sustainable future. #ImaginePossible","Our purpose 
To create connections that make the unimaginable possible.

Our vision
A world where limitless connectivity improves lives, redefines business and pioneers a sustainable future.

Our values
Perseverance, professionalism, respect and integrity.

The future is a place for purpose & vision – ours are clear, and we invite partners, customers and consumers to join us in our journey. 

For a brighter future. For all. Let's #ImaginePossible",,"kista, stockholm, sweden",sweden,67692,"future,purpose,connectivity,perseverance,business"
31,linkedin.com/company/nhs,NHS,Hospitals and Health Care,http://www.nhs.uk/,,"The NHS was launched in 1948.

It was born out of a long-held ideal that good healthcare should be available to all, regardless of wealth – one of the NHS's core principles. With the exception of some charges, such as prescriptions, optical services and dental services, the NHS in England remains free at the point of use for all UK residents. This currently stands at more than 64.6 million people in the UK and 54.3 million people in England alone.

The NHS in England deals with over 1 million patients every 36 hours. It covers everything, including antenatal screening, routine screenings (such as the NHS Health Check), treatments for long-term conditions, transplants, emergency treatment and end-of-life care.

Responsibility for healthcare in Northern Ireland, Scotland and Wales is devolved to the Northern Ireland Assembly, the Scottish Government and the Welsh Assembly Government respectively.

The NHS employs more than 1.5 million people, putting it in the top five of the world’s largest workforces, together with the US Department of Defence, McDonalds, Walmart and the Chinese People’s Liberation Army.

The NHS in England is the biggest part of the system by far, catering to a population of 54.3 million and employing around 1.2 million people. Of those, the clinically qualified staff include 150,273 doctors, 40,584 general practitioners (GPs), 314,966 nurses and health visitors, 18,862 ambulance staff, and 111,127 hospital and community health service (HCHS) medical and dental staff.

The NHS in Scotland, Wales and Northern Ireland employs 161,415; 84,000 and 66,000 people respectively.",1948.0,,,67564,"nhs,healthcare,scotland,ireland,wales"
32,linkedin.com/company/boeing,Boeing,Aviation & Aerospace,http://www.boeing.com,Join us and find an inclusive workplace built on innovation and shared values.,"We are the world’s largest aerospace company and leading provider of commercial airplanes, defense, space and security systems, and global services. Building on a legacy of aerospace leadership, Boeing continues to lead in technology and innovation, deliver for its customers, and invest in its people and future growth.
With us you can create and contribute to what matters most in your career, in your community and around the world. Our team members are supported to explore their professional interests and pursue new opportunities that will deepen their knowledge of our business. Join us in building the future of aerospace: boeing.com/careers
Boeing is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, national origin, gender, sexual orientation, gender identity, age, physical or mental disability, genetic factors, military/veteran status or other characteristics protected by law.",1916.0,"chicago, illinois, united states",united states,67261,"boeing,aerospace,careers,airplanes,career"
33,linkedin.com/company/vodafone,Vodafone,Telecommunications,http://www.vodafone.com/,Together We Can,"At Vodafone, we are known for our technology, but the truth is, it is humanity that drives our business forward. With the global pandemic raising so many questions for tech brands, it has highlighted the leading role that we need to play.

We believe that, when working together, humanity and technology can find the answers and create a better future for all. 

Working at Vodafone is all about helping people feel ready to benefit from new technology. We bring the future to even the most remote places, using technology to help families in disaster zones, showing young people that a phone is not just for fun and thinking about technology that doesn’t even exist yet. 

More than 35 years ago, we made the first-ever mobile phone call, we sent the first SMS in Britain and have been changing the lives of billions of people ever since. Now, we are using smartphones to fight cancer, big data for social good, and we aim to connect over 250 million people to our next generation networks by 2025.

We are passionate about building a workplace where you can truly be yourself, share inspiration, embrace new opportunities, thrive and make a real difference to people and our planet. We are known for our technology, but it is humanity that drives us forward. What are you passionate about?

#TogetherWeCan",1982.0,"berks, west berkshire, united kingdom",united kingdom,66632,"vodafone,smartphones,mobile,phone,technology"
34,linkedin.com/company/kaiser-permanente,Kaiser Permanente,Hospitals and Health Care,http://kp.org,,"We are relentless in our pursuit of excellence. Founded nearly 80 years ago, our unique business model sets us apart — positioning us to drive improvements across the industry and around the world. k-p.li/aboutKP 

As the nation’s leading not-for-profit health plan, we proudly serve 12.7 million members from 600+ locations in 8 states and Washington, D.C. Together, our 200,000+ employees and physicians work as one to positively impact the lives of our members, employees, and communities.

Come drive quality, inspire excellence, and create change for the better. Bring your talents to Kaiser Permanente, and see your visionary ideas make a difference in the lives of others. This is your opportunity to shape the future of health care.

Be essential.

*Disclaimer: Please do not include any medical, personal or confidential information in your comments. Comments are encouraged; however, Kaiser Permanente reserves the right to moderate comments on this page as necessary to prevent medical, personal and confidential information from being posted on this site. In addition, Kaiser Permanente will remove all spam, personal attacks, profanity, and off-topic commentary. Comments containing advertisements about goods or services or announcements about news or events that are not related to Kaiser Permanente will be removed. Please note that your communications with Kaiser Permanente through this page are informal and are not part of Kaiser Permanente’s formal grievance process for members. To get information about the member grievance process or to submit a grievance, go to http://k-p.li/2aToRTn",1945.0,"oakland, california, united states",united states,65839,"kaiser,physicians,health,medical,excellence"
35,linkedin.com/company/ford-motor-company,Ford Motor Company,Motor Vehicle Manufacturing,https://corporate.ford.com/careers,,"We don't just make history -- we make the future. Ford put the world on wheels over a century ago, and our teams are re-inventing icons and creating groundbreaking connected and electric vehicles for the next century. We believe in serving our customers, our communities, and the world. If you do, too, come move the world and make the future with us.

Ford is a global company with shared ideals and a deep sense of family. From our earliest days as a pioneer of modern transportation, we have sought to make the world a better place – one that benefits lives, communities and the planet. We are here to provide the means for every person to move and pursue their dreams, serving as a bridge between personal freedom and the future of mobility. In that pursuit, our 186,000 employees around the world help to set the pace of innovation every day. 

Privacy Policy: https://www.ford.com/help/privacy/",1903.0,"dearborn, michigan, united states",united states,65335,"ford,future,privacy,transportation,mobility"
36,linkedin.com/company/intel-corporation,Intel Corporation,Semiconductor Manufacturing,http://www.intel.com,,"Intel’s mission is to shape the future of technology to help create a better future for the entire world. By pushing forward in fields like AI, analytics and cloud-to-edge technology, Intel’s work is at the heart of countless innovations. From major breakthroughs like self-driving cars and rebuilding the coral reefs, to things that make everyday life better like blockbuster effects and improved shopping experiences — they’re all powered by Intel technology. With a career at Intel, you have the opportunity to help make the future more wonderful for everyone.

Join us.",1968.0,"santa clara, california, united states",united states,64046,"intel,ai,technology,analytics,future"
37,linkedin.com/company/department-of-veterans-affairs,U.S. Department of Veterans Affairs,Government Administration,https://www.va.gov/,We're recruiting the finest employees to care for our Veterans.  Engagement ≠ VA endorsement. bit.ly/2Q14Y1p,"Welcome to the United States Department of Veterans Affairs (VA) Official LinkedIn page. We're recruiting the finest employees to care for our #Veterans. Following/engagement ≠ signify VA endorsement. 

This is a moderated page, meaning that all comments will be reviewed for appropriate content. Please show respect to others. Comments that do not directly relate to the topics covered on this page, including commerce, external links, spam, abusive or vulgar language, hate speech, accusations against individuals, or personal attacks will be considered “off topic” and may not be posted. VA reserves the right to determine which comments are acceptable for this page. VA may remove comments that do not follow these terms, or comments that VA may reasonably believe could cause harm if they remain. VA may, at its sole discretion, terminate a user’s ability to post comments to this site for repeated or excessive violations of these standards.

For more information, please visit bit.ly/2Q14Y1p",1930.0,"washington, district of columbia, united states",united states,62685,"veterans,va,comments,linkedin,violations"
